Concorrente,Grupo,Instâncias,Wins,Ties,Losses,p_valor_ajustado,Teste
BRKGA,Global,610,610,0,0,1.806491427561196e-100,Wilcoxon
BRKGA,800x800,170,170,0,0,1.0158313776585376e-28,Wilcoxon
BRKGA,600x600,140,140,0,0,5.8377708876050934e-24,Wilcoxon
BRKGA,400x400,120,120,0,0,5.6942894331615156e-21,Wilcoxon
BRKGA,1000x1000,180,180,0,0,3.1508058528502984e-30,Wilcoxon
SA,Global,610,610,0,0,1.806491427561196e-100,Wilcoxon
SA,800x800,170,170,0,0,1.0158313776585376e-28,Wilcoxon
SA,600x600,140,140,0,0,5.8377708876050934e-24,Wilcoxon
SA,400x400,120,120,0,0,5.6942894331615156e-21,Wilcoxon
SA,1000x1000,180,180,0,0,3.1508058528502984e-30,Wilcoxon
SND,Global,610,610,0,0,1.806491427561196e-100,Wilcoxon
SND,800x800,170,170,0,0,1.0158313776585376e-28,Wilcoxon
SND,600x600,140,140,0,0,5.8377708876050934e-24,Wilcoxon
SND,400x400,120,120,0,0,5.6942894331615156e-21,Wilcoxon
SND,1000x1000,180,180,0,0,3.1508058528502984e-30,Wilcoxon
